"asp_north","Elev.skewn","Int.skewne","Int.P70","All_mode","Return.3.c","Elev.IQ","Elev.P40","Int.P40","Total.firs","elevation","center.X","center.Y"
-0.0780562245147274,-0.5041,1.345,12,232,1,4.7871,12.0056,4,672,865.966979980469,442690,4691950
-0.0780562245147274,0.5547,1.567,11,522,0,4.9695,6.7919,4,645,865.966979980469,442710,4691950
-0.348311705277908,0.5946,0.8736,23,417,0,2.8493,6.1856,9,507,867.463989257812,442730,4691950
-0.761867417788419,0.8035,0.9911,16,215,0,2.5572,5.5615,6,472,869.411010742188,442750,4691950
-1.25921632460532,-0.6947,1.8806,9,157,0,4.4067,10.1208,4,456,871.606994628906,442770,4691950
-1.85231289743263,-0.6421,2.3544,8,95,0,5.2445,11.069,3,414,873.60302734375,442790,4691950
-1.85231289743263,0.0375,1.5359,7.7,87,0,4.612,9.8251,3,475,873.60302734375,442810,4691950
-2.17022666873273,-0.004,2.0606,6.5,164,0,4.9104,10.1405,3,499,873.961975097656,442830,4691950
-2.16316599384534,-0.7506,1.9109,6,215,0,3.8539,10.5878,3,503,874.06201171875,442850,4691950
-1.97874545048836,-0.2122,1.8239,9,110,0,5.9734,8.7859,3,539,873.554016113281,442870,4691950
-1.90799088105811,0.173,1.7484,7.2,234,0,3.7005,8.7623,3,552,873.346008300781,442890,4691950
-1.90799088105811,-0.0342,1.5466,11,237,0,3.1086,8.151,3,569,873.346008300781,442910,4691950
-1.87144380152153,0.5951,1.8901,10.9,47,0,4.9698,4.134,3,605,874.004028320312,442930,4691950
-1.75672178283885,-0.2033,0.8999,14,47,0,6.1876,9.344,5,633,874.310974121094,442950,4691950
-1.57983916563989,-0.3255,1.078,13,103,0,4.0058,7.3276,4,641,874.823974609375,442970,4691950
-1.7670607188893,0.5919,1.1451,13.2,42,0,2.851,5.0965,3.8,576,875.046997070312,442990,4691950
-1.7670607188893,-0.4199,1.1764,13,75,0,3.331,8.2254,5,502,875.046997070312,443010,4691950
-1.81055054594974,0.0756,1.9049,9.8,94,0,4.1511,5.2149,3,492,874.6240234375,443030,4691950
-1.73227844681242,-0.5112,1.4885,14,59,0,5.3305,10.3673,4,486,874.578002929688,443050,4691950
-1.52300191788705,-1.0383,1.214,14,137,0,2.713,15.1773,5,471,874.648986816406,443070,4691950
-1.44799261893467,-0.6797,1.6605,9,97,0,4.5677,12.368,3,500,874.981994628906,443090,4691950
-1.44799261893467,-0.249,1.5851,10,107,0,3.6784,8.4436,3,501,874.981994628906,443110,4691950
-1.29366516225897,0.1435,1.8521,8,107,0,4.6197,8.0437,3,518,874.556030273438,443130,4691950
